threshold_ppb,night_hour,month,pct_exceeding,local_hour
30.0,20,4,5.084745762711865,8
30.0,20,5,0.0,8
30.0,20,6,0.0,8
30.0,20,7,0.0,8
30.0,20,8,0.0,8
30.0,20,9,0.0,8
30.0,20,10,0.0,8
30.0,20,11,0.0,8
30.0,20,12,0.0,8
30.0,21,1,1.7241379310344827,9
30.0,21,2,0.0,9
30.0,21,3,1.8867924528301887,9
30.0,21,4,0.0,9
30.0,21,5,0.0,9
30.0,21,6,0.0,9
30.0,21,7,0.0,9
30.0,21,8,0.0,9
30.0,21,9,0.0,9
30.0,21,10,0.0,9
30.0,21,11,0.0,9
30.0,21,12,0.0,9
30.0,22,1,0.0,10
30.0,22,2,0.0,10
30.0,22,3,1.9230769230769231,10
